93748.730,10835.050,4320.520,83864.250,31089.360,-19017.800,127609.100,88704.310,-0.197,0.988,-0.087,0.000
269604.500,-34884.400,11337.120,191377.000,92055.230,-110065.700,419977.900,232322.700,-0.196,0.992,-0.094,0.000
341759.400,-174547.000,26140.730,77786.220,112863.900,-236464.100,633890.600,235731.400,-0.194,0.995,-0.097,0.000
356952.300,-227149.200,92668.170,-112391.200,134668.300,-246302.200,598556.900,174151.000,-0.193,0.993,-0.098,0.000
420812.500,-116958.300,209158.600,-57492.940,272865.900,-87113.950,299626.300,157598.800,-0.194,0.994,-0.098,0.000
477061.700,51487.030,312190.900,200396.800,471143.500,176764.100,10624.550,141752.800,-0.196,0.994,-0.101,0.000
509288.000,308532.600,396884.400,459892.600,595963.300,478012.900,39939.370,207424.300,-0.194,0.993,-0.103,0.000
541446.100,608222.600,468935.400,651671.300,520036.000,704010.900,262168.800,401219.100,-0.195,0.993,-0.105,0.000
542772.800,737714.800,493659.900,733030.000,309265.400,752814.700,488601.100,567494.300,-0.197,0.993,-0.104,0.000
479524.000,699036.400,480116.800,633845.300,246108.100,674973.600,628983.700,599324.900,-0.196,0.993,-0.100,0.000
396861.700,626157.600,474222.500,455680.300,311275.000,580877.100,578648.800,544901.900,-0.197,0.995,-0.103,0.000
348002.300,549135.800,476343.800,376735.600,387028.300,514903.500,386884.900,436478.300,-0.198,0.997,-0.105,0.000
301927.500,465930.800,456393.800,400033.100,468345.800,464003.700,219833.900,284934.400,-0.197,0.995,-0.104,0.000
211949.300,384246.800,420928.600,412382.200,434721.400,392308.900,143359.200,151228.500,-0.198,0.997,-0.105,0.000
105065.400,297059.000,384163.200,388614.700,252275.300,284278.900,106709.600,72206.210,-0.196,0.997,-0.105,0.000
9965.447,185951.500,339651.300,348410.400,65530.140,156406.900,55855.960,14793.080,-0.196,0.998,-0.106,0.000
-79054.760,75219.200,293697.400,270480.100,-19391.010,53200.160,-25538.430,-50833.390,-0.196,0.998,-0.104,0.000
-139316.800,22743.000,262331.700,193508.700,-26706.690,15270.440,-125785.900,-101646.500,-0.198,0.999,-0.103,0.000
-136083.300,29568.750,240266.800,200463.100,-7206.680,24790.710,-186111.800,-104485.900,-0.198,1.000,-0.103,0.000
-100913.500,29663.230,208549.000,252363.500,5483.671,19467.490,-145115.900,-81337.040,-0.198,1.001,-0.102,0.000
-111178.900,-12066.590,168558.500,214330.800,-33129.470,-26503.690,-59703.770,-87240.720,-0.197,1.001,-0.105,0.000
-174537.000,-56849.290,138815.700,86587.930,-120282.400,-73092.980,-71647.430,-129286.500,-0.199,0.999,-0.102,0.000
-213658.800,-68642.210,121460.600,27739.450,-163365.800,-82732.500,-195565.000,-158909.000,-0.199,1.000,-0.102,0.000
-188130.300,-68669.590,99840.540,94492.450,-107802.100,-74882.620,-267955.200,-148783.800,-0.200,1.001,-0.106,0.000
-155067.900,-85577.310,68979.950,140977.800,-49717.130,-86587.470,-189696.300,-129742.900,-0.200,0.999,-0.107,0.000
-173960.500,-107716.700,42619.520,59319.410,-101448.500,-115516.200,-88901.120,-137512.700,-0.200,0.999,-0.105,0.000
-217744.100,-116399.900,27257.760,-47716.330,-203810.100,-134059.400,-124969.900,-162137.600,-0.201,1.000,-0.102,0.000
-226132.000,-121719.900,12158.830,-45491.130,-211678.100,-135474.800,-241933.400,-172128.600,-0.199,1.001,-0.102,0.000
-198847.000,-135472.800,-9672.566,19280.390,-126650.400,-135381.500,-265697.400,-161883.200,-0.199,1.001,-0.102,0.000
-183033.700,-145071.500,-30292.890,13424.590,-91656.660,-141911.800,-175577.100,-151318.100,-0.200,1.002,-0.102,0.000
-196521.500,-141320.500,-43212.920,-69443.270,-160703.900,-149924.500,-116948.300,-153249.300,-0.198,1.001,-0.102,0.000
-212707.300,-140601.500,-54468.120,-124883.400,-224656.300,-156317.700,-165634.100,-161376.500,-0.199,1.000,-0.102,0.000
