-1.57,-2.218,1.697,4.377,0.72,2.778,1.141,-0.948
-2.747,-1.147,1.439,1.793,2.324,4.463,2.959,-0.194
-3.881,-0.26,0.558,-1.907,2.137,4.217,3.013,-0.178
-3.195,0.754,1.05,-1.274,3.09,4.861,4.506,1.661
-1.373,1.335,2.488,3.361,4.775,5.897,6.471,4.446
-0.489,0.454,2.358,4.574,3.756,4.499,4.91,3.94
-0.525,-1.167,0.247,-0.475,0.065,1.061,0.18,-0.584
-0.271,-1.971,-1.433,-4.962,-2.765,-1.582,-3.342,-4.643
2.183,0.621,0.225,-3.456,-1.322,0.078,-1.445,-3.144
6.366,5.485,4.456,2.329,3.538,5.212,4.358,3.201
8.824,8.534,7.698,7.726,7.657,8.904,8.287,8.872
8.641,10.236,8.951,9.472,9.426,10.158,8.69,10.944
8.329,11.242,9.199,8.537,9.431,10.579,7.669,10.23
9.253,10.099,8.79,6.821,8.107,10.27,6.874,8.254
9.297,6.786,7.5,5.57,6.173,8.731,6.71,6.954
7.425,2.945,5.52,4.836,3.929,5.974,6.29,6.41
5.14,0.115,3.057,1.386,0.738,2.302,4.286,4.181
4.166,-1.023,1.269,-2.202,-1.997,-0.614,2.229,1.49
6.316,0.922,2.328,-0.61,-0.818,0.465,4.113,2.752
9.533,4.822,4.594,1.22,2.712,4.388,8.137,5.568
10.345,7.086,5.638,0.137,4.945,7.671,10.386,6.101
9.481,7.488,6.529,0.985,6.255,9.157,11.161,6.298
8.017,6.773,6.75,3.833,6.085,7.476,9.587,5.892
5.513,3.892,4.241,4.114,3.293,3.919,5.653,3.431
2.511,0.069,0.098,1.253,-0.357,1.598,1.97,0.014
0.128,-2.278,-3.161,-2.354,-3.076,0.515,-0.345,-3.293
-1.662,-3.018,-4.846,-5.264,-4.219,0.517,-0.62,-5.059
-3.685,-3.701,-6.099,-7.477,-4.479,1.156,0.488,-4.568
-6.266,-6.316,-8.695,-11.39,-6.583,-0.994,-0.742,-4.838
-7.536,-9.48,-10.87,-14.28,-9.349,-5.353,-3.725,-6.068
-5.538,-9.132,-9.705,-12.018,-9.068,-6.757,-3.945,-5.576
-1.609,-5.871,-6.773,-7.284,-6.889,-4.72,-2.004,-4.659
1.258,-4.225,-5.05,-3.836,-5.915,-3.924,-2.04,-4.596
1.402,-5.616,-5.557,-4.387,-7.558,-6.835,-5.972,-6.238
0.57,-7.217,-6.463,-5.961,-10.107,-10.187,-10.819,-8.718
0.883,-6.802,-5.758,-4.396,-10.731,-10.562,-12.397,-9.167
2.023,-4.822,-3.925,-0.775,-9.087,-8.126,-10.113,-7.933
3.057,-3.41,-2.371,2.253,-6.437,-4.837,-5.798,-6.003
2.577,-4.665,-2.645,1.031,-4.748,-3.185,-2.58,-3.87
0.376,-7.633,-4.68,-2.655,-5.088,-4.167,-2.399,-2.907
-1.203,-9.324,-6.395,-3.154,-5.782,-5.647,-3.055,-2.578
-1.159,-8.316,-6.666,-1.541,-4.741,-4.96,-2.068,-1.344
-0.79,-5.442,-5.476,-1.579,-2.205,-2.714,-0.083,0.653
-1.68,-2.933,-3.981,-3.313,-0.566,-1.658,0.817,1.295
-3.402,-1.546,-3.4,-5.656,-1.082,-2.5,-0.184,-0.525
-3.029,1.205,-1.859,-6.993,-0.813,-2.366,-0.429,-1.209
-0.651,4.343,1.137,-5.056,1.481,-1.091,0.111,0.6
1.123,5.371,3.327,-2.138,2.579,-1.485,-1.828,0.415
2.539,6.99,5.61,-0.27,2.803,-1.611,-4.031,-1.156
4.11,8.905,8.197,1.033,3.493,-0.092,-4.122,-1.194
4.899,8.193,8.71,1.444,3.011,0.411,-3.96,-1.787
4.219,6.316,7.125,2.135,1.514,-0.653,-4.377,-3.64
2.159,4.869,4.597,2.39,0.36,-1.779,-4.563,-4.569
0.458,4.1,2.729,2.422,0.471,-1.588,-3.104,-3.274
0.182,4.55,2.487,2.988,1.53,-0.477,-0.566,-1.455
0.313,4.901,2.995,3.146,2.122,-0.389,0.483,-0.012
0.614,3.101,3.509,3.79,1.969,-1.35,-0.327,1.905
0.808,-0.206,3.276,3.796,0.755,-2.741,-2.269,1.315
0.51,-2.17,2.781,2.508,-0.768,-3.982,-4.064,-1.611
2.072,-0.836,3.982,3.721,-0.279,-3.683,-3.642,-1.45
5.474,1.324,5.867,6.949,0.975,-2.713,-2.267,0.398
8.386,1.996,6.711,7.307,1.183,-2.274,-1.628,0.727
10.955,3.857,7.852,6.595,1.969,-1.401,-0.984,1.459
11.487,6.351,8.444,6.49,2.837,-0.501,-1.121,1.76
9.035,6.572,7.17,4.222,3.013,-0.056,-1.75,0.504
6.571,5.943,6.372,2.805,4.341,0.688,-1.031,0.663
5.255,5.261,6.402,4.214,5.654,0.545,-0.586,2.07
4.586,3.653,5.712,5.458,4.668,-1.263,-1.962,2.127
5.6,2.903,5.482,7.244,3.724,-2.058,-2.225,2.323
7.906,4.085,6.114,9.194,4.696,-0.368,0.188,3.54
7.559,4.442,5.326,8.775,5.151,1.309,2.14,4.119
3.77,3.561,3.102,6.817,4.489,2.527,2.794,4.094
0.18,3.872,1.302,3.551,4.057,4.488,3.813,3.438
-0.701,6.81,1.916,1.508,5.265,7.467,6.269,3.984
0.311,9.902,4.049,3.175,7.334,10.159,8.477,5.554
-0.438,7.924,2.792,3.374,6.119,9.38,6.842,3.737
-3.057,2.415,-1.816,-0.114,1.961,5.409,2.722,-0.565
-4.816,-2.172,-5.839,-3.394,-1.856,0.854,-1.169,-4.082
-5.645,-5.027,-7.583,-3.472,-3.375,-1.62,-3.044,-4.76
-5.374,-4.762,-6.422,-0.324,-1.611,-0.698,-1.745,-1.983
-4.809,-2.499,-4.56,1.375,0.379,0.496,-0.886,-0.472
-6.102,-2.019,-4.77,-1.349,-0.274,-0.745,-3.087,-2.996
-8.292,-3.37,-6.059,-4.775,-2.105,-3.197,-5.927,-5.9
-9.609,-4.468,-6.834,-6.118,-3.682,-4.771,-7.425,-7.403
-8.999,-3.945,-5.862,-5.0,-3.999,-4.369,-6.568,-7.041
-4.115,0.631,-0.65,1.104,-0.599,-0.963,-1.633,-1.606
2.019,6.736,4.944,6.716,3.366,3.063,3.405,3.994
3.334,7.556,4.519,5.012,2.401,3.45,3.131,2.609
1.119,4.377,1.129,1.233,-0.666,1.736,0.792,-0.418
-1.188,1.161,-0.991,-1.022,-2.057,0.661,0.461,0.555
-2.322,-1.309,-1.647,-2.209,-2.26,-0.202,1.436,3.887
-0.616,-0.328,0.327,-0.246,-0.943,-0.271,3.191,7.639
3.695,3.894,4.83,4.526,2.475,1.64,6.114,11.027
7.167,6.423,8.324,7.292,5.267,3.221,7.394,11.645
8.392,6.402,9.332,6.761,5.362,2.494,4.704,8.43
10.023,7.665,10.943,7.13,5.462,2.484,2.049,5.116
13.673,12.1,15.16,11.756,8.221,5.693,3.145,5.764
16.2,16.703,18.937,17.084,11.746,10.105,6.075,9.218
13.992,17.324,18.146,14.856,12.356,12.515,7.564,10.085
9.084,13.774,13.501,6.789,9.621,11.493,6.663,6.605
5.856,9.595,9.336,0.914,6.514,9.066,5.026,2.395
5.129,8.193,8.094,-0.816,6.329,9.457,6.282,1.803
